,Year,Country Name,Country Code,Life Expectancy at birth (total years),"Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",Weighted World Death
65,2016,"Bahamas, The",BHS,0.8679566496433186,0.13043478260869565,0.16150442477876104,0.10514198004604756,-0.297994110094546
66,2017,"Bahamas, The",BHS,0.8706198558259989,0.12709030100334448,0.1592920353982301,0.10207214121258634,-0.2697254172257256
67,2018,"Bahamas, The",BHS,0.8729634772667573,0.12486064659977703,0.15486725663716813,0.0997697620874904,-0.2404386341942627
68,2019,"Bahamas, The",BHS,0.874928331605979,0.1616499442586399,0.15265486725663716,0.1719109746738296,-0.5939800573765306
69,2020,"Bahamas, The",BHS,0.8772522255935327,0.11705685618729096,0.14601769911504422,0.09439754412893323,-0.17250476064191478
70,2016,Bahrain,BHR,0.9102128544085092,0.0713489409141583,0.07079646017699115,0.057559478127398304,0.32488767953962594
71,2017,Bahrain,BHR,0.9117871051742711,0.07023411371237458,0.06858407079646017,0.056024558710667687,0.34146843051747067
72,2018,Bahrain,BHR,0.9133376829961871,0.06800445930880712,0.06858407079646017,0.05448963929393706,0.35361799481344414
73,2019,Bahrain,BHR,0.9148645878742571,0.0657748049052397,0.0663716814159292,0.05372217958557175,0.36931121547370305
74,2020,Bahrain,BHR,0.916438838640019,0.06465997770345595,0.06415929203539822,0.05218726016884113,0.3858919664515479
75,2016,Bangladesh,BGD,0.8496811369941719,0.32998885172798215,0.495575221238938,0.2770529547198772,-2.405234049058115
76,2017,Bangladesh,BGD,0.8528414749976191,0.31438127090301,0.4623893805309734,0.2624712202609363,-2.2129740894450665
77,2018,Bangladesh,BGD,0.856013649472989,0.2987736900780379,0.4358407079646017,0.24865694551036066,-2.0436836366183346
78,2019,Bangladesh,BGD,0.8592213333641281,0.2842809364548495,0.40929203539823006,0.2356101304681504,-1.8796571676128626
79,2020,Bangladesh,BGD,0.8624112625473825,0.2709030100334448,0.38716814159292035,0.22333077513430544,-1.7342222828354898
80,2016,Barbados,BRB,0.933755597063401,0.14158305462653287,0.20132743362831856,0.10514198004604756,-0.37396073325881063
